00C0;	0041  	
00C1;	0041  	
00C2;	0041  	
00C3;	0041  	
00C4;	0041  	
00C5;	0041  	
0100;	0041  	
0102;	0041  	
0104;	0041  	
01CD;	0041  	
01DE;	0041  	
01E0;	0041  	
01FA;	0041  	
0200;	0041  	
0202;	0041  	
0226;	0041  	
1E00;	0041  	
1EA0;	0041  	
1EA2;	0041  	
1EA4;	0041  	
1EA6;	0041  	
1EA8;	0041  	
1EAA;	0041  	
1EAC;	0041  	
1EAE;	0041  	
1EB0;	0041  	
1EB2;	0041  	
1EB4;	0041  	
1EB6;	0041  	
0181;	0042  	
0182;	0042  	
1E02;	0042  	
1E04;	0042  	
1E06;	0042  	
00C7;	0043  	
0106;	0043  	
0108;	0043  	
010A;	0043  	
010C;	0043  	
0187;	0043  	
1E08;	0043  	
010E;	0044  	
0110;	0044  	
018A;	0044  	
018B;	0044  	
1E0A;	0044  	
1E0C;	0044  	
1E0E;	0044  	
1E10;	0044  	
1E12;	0044  	
00C8;	0045  	
00C9;	0045  	
00CA;	0045  	
00CB;	0045  	
0112;	0045  	
0114;	0045  	
0116;	0045  	
0118;	0045  	
011A;	0045  	
0204;	0045  	
0206;	0045  	
0228;	0045  	
1E14;	0045  	
1E16;	0045  	
1E18;	0045  	
1E1A;	0045  	
1E1C;	0045  	
1EB8;	0045  	
1EBA;	0045  	
1EBC;	0045  	
1EBE;	0045  	
1EC0;	0045  	
1EC2;	0045  	
1EC4;	0045  	
1EC6;	0045  	
0191;	0046  	
1E1E;	0046  	
011C;	0047  	
011E;	0047  	
0120;	0047  	
0122;	0047  	
0193;	0047  	
01E4;	0047  	
01E6;	0047  	
01F4;	0047  	
1E20;	0047  	
0124;	0048  	
0126;	0048  	
021E;	0048  	
1E22;	0048  	
1E24;	0048  	
1E26;	0048  	
1E28;	0048  	
1E2A;	0048  	
00CC;	0049  	
00CD;	0049  	
00CE;	0049  	
00CF;	0049  	
0128;	0049  	
012A;	0049  	
012C;	0049  	
012E;	0049  	
0130;	0049  	
0197;	0049  	
01CF;	0049  	
0208;	0049  	
020A;	0049  	
1E2C;	0049  	
1E2E;	0049  	
1EC8;	0049  	
1ECA;	0049  	
0134;	004A  	
0136;	004B  	
0198;	004B  	
01E8;	004B  	
1E30;	004B  	
1E32;	004B  	
1E34;	004B  	
0139;	004C  	
013B;	004C  	
013D;	004C  	
0141;	004C  	
1E36;	004C  	
1E38;	004C  	
1E3A;	004C  	
1E3C;	004C  	
1E3E;	004D  	
1E40;	004D  	
1E42;	004D  	
00D1;	004E  	
0143;	004E  	
0145;	004E  	
0147;	004E  	
019D;	004E  	
01F8;	004E  	
0220;	004E  	
1E44;	004E  	
1E46;	004E  	
1E48;	004E  	
1E4A;	004E  	
00D2;	004F  	
00D3;	004F  	
00D4;	004F  	
00D5;	004F  	
00D6;	004F  	
00D8;	004F  	
014C;	004F  	
014E;	004F  	
0150;	004F  	
019F;	004F  	
01A0;	004F  	
01D1;	004F  	
01EA;	004F  	
01EC;	004F  	
01FE;	004F  	
020C;	004F  	
020E;	004F  	
022A;	004F  	
022C;	004F  	
022E;	004F  	
0230;	004F  	
1E4C;	004F  	
1E4E;	004F  	
1E50;	004F  	
1E52;	004F  	
1ECC;	004F  	
1ECE;	004F  	
1ED0;	004F  	
1ED2;	004F  	
1ED4;	004F  	
1ED6;	004F  	
1ED8;	004F  	
1EDA;	004F  	
1EDC;	004F  	
1EDE;	004F  	
1EE0;	004F  	
1EE2;	004F  	
01A4;	0050  	
1E54;	0050  	
1E56;	0050  	
0154;	0052  	
0156;	0052  	
0158;	0052  	
0210;	0052  	
0212;	0052  	
1E58;	0052  	
1E5A;	0052  	
1E5C;	0052  	
1E5E;	0052  	
015A;	0053  	
015C;	0053  	
015E;	0053  	
0160;	0053  	
0218;	0053  	
1E60;	0053  	
1E62;	0053  	
1E64;	0053  	
1E66;	0053  	
1E68;	0053  	
0162;	0054  	
0164;	0054  	
0166;	0054  	
01AC;	0054  	
01AE;	0054  	
021A;	0054  	
1E6A;	0054  	
1E6C;	0054  	
1E6E;	0054  	
1E70;	0054  	
00D9;	0055  	
00DA;	0055  	
00DB;	0055  	
00DC;	0055  	
0168;	0055  	
016A;	0055  	
016C;	0055  	
016E;	0055  	
0170;	0055  	
0172;	0055  	
01AF;	0055  	
01D3;	0055  	
01D5;	0055  	
01D7;	0055  	
01D9;	0055  	
01DB;	0055  	
0214;	0055  	
0216;	0055  	
1E72;	0055  	
1E74;	0055  	
1E76;	0055  	
1E78;	0055  	
1E7A;	0055  	
1EE4;	0055  	
1EE6;	0055  	
1EE8;	0055  	
1EEA;	0055  	
1EEC;	0055  	
1EEE;	0055  	
1EF0;	0055  	
01B2;	0056  	
1E7C;	0056  	
1E7E;	0056  	
0174;	0057  	
1E80;	0057  	
1E82;	0057  	
1E84;	0057  	
1E86;	0057  	
1E88;	0057  	
1E8A;	0058  	
1E8C;	0058  	
00DD;	0059  	
0176;	0059  	
0178;	0059  	
01B3;	0059  	
0232;	0059  	
1E8E;	0059  	
1EF2;	0059  	
1EF4;	0059  	
1EF6;	0059  	
1EF8;	0059  	
0179;	005A  	
017B;	005A  	
017D;	005A  	
01B5;	005A  	
0224;	005A  	
1E90;	005A  	
1E92;	005A  	
1E94;	005A  	
00E0;	0061  	
00E1;	0061  	
00E2;	0061  	
00E3;	0061  	
00E4;	0061  	
00E5;	0061  	
0101;	0061  	
0103;	0061  	
0105;	0061  	
01CE;	0061  	
01DF;	0061  	
01E1;	0061  	
01FB;	0061  	
0201;	0061  	
0203;	0061  	
0227;	0061  	
1E01;	0061  	
1E9A;	0061  	
1EA1;	0061  	
1EA3;	0061  	
1EA5;	0061  	
1EA7;	0061  	
1EA9;	0061  	
1EAB;	0061  	
1EAD;	0061  	
1EAF;	0061  	
1EB1;	0061  	
1EB3;	0061  	
1EB5;	0061  	
1EB7;	0061  	
0180;	0062  	
0183;	0062  	
0253;	0062  	
1E03;	0062  	
1E05;	0062  	
1E07;	0062  	
00E7;	0063  	
0107;	0063  	
0109;	0063  	
010B;	0063  	
010D;	0063  	
0188;	0063  	
0255;	0063  	
1E09;	0063  	
010F;	0064  	
0111;	0064  	
018C;	0064  	
0221;	0064  	
0256;	0064  	
0257;	0064  	
1E0B;	0064  	
1E0D;	0064  	
1E0F;	0064  	
1E11;	0064  	
1E13;	0064  	
00E8;	0065  	
00E9;	0065  	
00EA;	0065  	
00EB;	0065  	
0113;	0065  	
0115;	0065  	
0117;	0065  	
0119;	0065  	
011B;	0065  	
0205;	0065  	
0207;	0065  	
0229;	0065  	
1E15;	0065  	
1E17;	0065  	
1E19;	0065  	
1E1B;	0065  	
1E1D;	0065  	
1EB9;	0065  	
1EBB;	0065  	
1EBD;	0065  	
